read_id	mapped	blast_identity	gap_compressed_identity	aligned_columns	mismatches	inserted_bases	deleted_bases
9144150b-96d0-5352-c715-d1d4ded9a8ca	true	0.9479211315902272	0.9783233797832338	4465	42	164	37
9948438e-c4a6-d0d9-2a82-f350897addfd	true	0.9721487558698116	0.9735149451381007	18227	216	130	170
e40a0e05-7785-12c9-4790-13c36501e9d8	true	0.9076543209876543	0.9163654493331671	7682	330	128	290
cace80a9-d151-ddba-c5bd-b7d568656633	true	0.9453365220362145	0.9502876277152915	11316	248	133	259
947b9fe9-6cbe-c138-b76a-9e205222b6db	true	0.9058644583403752	0.9149880505291909	5588	228	111	218
8f40774f-a7e9-f3f9-6569-9cf58c5b18ec	true	0.9633840052875082	0.9666637191617296	22228	364	162	305
90e4a978-67fc-008d-ebb2-dc73ca3c380e	true	0.9670975323149236	0.9722386296515062	8338	108	75	97
81e204ad-00df-6c64-c898-306ae9f4983e	true	0.9653266331658291	0.967514479979854	3911	69	26	43
7db95731-91de-e530-0622-bcc65d6b625c	true	0.9299135102892931	0.9374624173180999	3230	112	40	83
54212bc7-c595-a6fe-d953-94c786b06566	true	0.8790437296379572	0.8919774642640965	20296	1139	506	991
d1193b68-e57c-da00-19ad-d96245105acc	true	0.9621425028930402	0.9651741293532339	5913	93	54	82
fefea778-80ce-77a3-fadc-9df5b4b319df	true	0.9768718149745198	0.9785832955746866	32709	313	170	284
3775a054-4ca4-c9a2-33ad-134d6101ee30	true	0.9342410808528605	0.9393971555932923	9124	273	112	238
a6205999-73a8-ef32-5dc3-860a90946270	true	0.9754808060685005	0.9783293629447476	12862	131	75	114
47c121d2-dc78-4600-8866-f9ea2728df1c	true	0.9353945546838948	0.9394407539008188	6277	196	88	136
42f5cff2-e739-1881-0907-ec34caff498f	true	0.9540499906032701	0.9590063285161047	10351	198	122	169
8067f79e-82fd-bc06-23fd-913de519c27b	true	0.9586760077165194	0.9623401110941242	19225	341	185	288
c4399f80-443a-c8b3-541e-399de75ea263	true	0.9754430920350203	0.9806784027479605	9216	80	79	71
6e522d53-5c1c-b494-eda6-775c735a788e	true	0.9155803848541278	0.9259259259259259	1529	54	33	49
4aa190aa-4cf7-1de9-873b-82c2ee783b17	true	0.9551166965888689	0.9585585585585585	19539	387	188	325
d1116689-a66e-30c8-43cf-c6a72143356f	true	0.8947596988998263	0.9047131147540983	6504	323	173	231
6a5a809d-eab1-fc9f-0e3e-264dff166091	true	0.9448363594310165	0.9498895477270085	8366	196	103	178
7aadcd7d-b444-03d0-eca2-95a40207548e	true	0.9811488003782058	0.9861020371800202	16700	97	121	101
90980c01-c296-7309-f614-0245e751aca6	false	NaN	NaN	0	0	0	0
6f3df781-ce98-c6ea-356c-21ef71de0f30	true	0.9719540229885058	0.9787792267921908	12805	121	64	181
98bc6bab-c9c9-4492-8cad-80ff35bcce89	true	0.9456384323640961	0.9506643558636626	8440	212	97	164
1cc86a0e-c3db-dc30-1369-cc11d45ae3f5	true	0.9791390390696726	0.9857252888318356	19322	125	88	196
832cb166-2786-379b-b3c8-c8b443ba4832	true	0.9232909631316005	0.9294035266407792	15092	492	259	462
4295c724-b944-345e-a07e-f72b9f5a8695	true	0.9377162629757786	0.9442508710801394	276	5	7	6
3f304021-b90b-4b9f-2db0-d7bb6cd8e079	true	0.910898810684344	0.9188710787688071	9757	413	154	347
97b933be-61aa-0bce-0040-99d109ae802d	true	0.9433235996814441	0.9474736701773097	7287	180	93	154
7d71b440-53a8-f831-e057-172255b0e0c2	true	0.8576051779935275	0.8731466227347611	1141	81	35	60
70c705ca-0e07-8561-4792-45399039e311	true	0.9280903681003456	0.9347521803108064	26871	826	401	791
dff4ea8f-c4fe-a6c5-23ed-eef99fd3a5f8	true	0.9307942311598618	0.9379196004584902	47264	1441	729	1237
d42f7922-02a7-4ae8-bceb-32f0d203a925	true	0.9501603750308414	0.9532178217821782	3957	106	34	62
b163c73e-c1db-31c7-13f3-25c0c5c3c90d	true	0.9699018669219722	0.97632815323455	16398	189	160	154
7a586f3d-bb9c-fde1-e50d-efb45f9f95f8	true	0.9542824074074074	0.9587209302325581	1683	34	13	32
fa9326b8-7d4e-2ad7-3439-193ca00e26b7	true	0.9477817580600717	0.9527041063638252	14079	321	165	272
7e59a403-d915-c517-bf15-725f31d616e2	true	0.9500198859870078	0.9544485881726159	7316	150	73	154
2da1ecdf-528e-dc2b-b0d7-c3c7a17c1669	true	0.9389590508993494	0.9440169295883032	5044	137	58	124
a802dede-39e9-3692-5a80-2ba429436de7	true	0.9274157636930385	0.9339312406576981	6464	216	92	181
22523842-63d3-efbc-3e1e-c1b7bcddb818	true	0.9573248407643312	0.96192	12227	203	118	215
5ea4f2a3-6e53-164a-172a-097685aa8336	true	0.8914285714285715	0.9065606361829026	6252	324	131	267
3a8d94af-74e5-6fa3-93d2-f0f9d5de969b	true	0.928336620644313	0.9388297872340425	1453	41	15	53
0b6ef43d-ce1d-3577-2ac8-5a54f419b363	false	NaN	NaN	0	0	0	0
0dcdd2ae-a345-debe-f5ef-d4c40cc8c1f3	true	0.9588752196836555	0.9612403100775194	2778	50	27	40
eb9d852d-669f-b75b-43c9-ce325c091c3f	true	0.9471272470919986	0.9513188174898212	16501	379	195	326
